,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
1418,DR23_G-6,ENTRY 6,Product harvest index (ratio),0.58,0.45,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1419,DR23_G-6,ENTRY 6,Maximum leaf area index,1.3,4.3,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1422,DR23_G-6,ENTRY 6,Canopy (tops) wt (kg dm/ha),4657.0,6329.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1423,DR23_G-6,ENTRY 6,Vegetative wt (kg dm/ha),1943.0,3472.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1433,DR23_G-6,ENTRY 6,Product N (kg/ha),81.3,56.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1435,DR23_G-6,ENTRY 6,Product N (%),3.0,2.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1441,DR23_G-7,ENTRY 7,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1442,DR23_G-7,ENTRY 7,Anthesis (DAP),77.0,88.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1443,DR23_G-7,ENTRY 7,Maturity (DAP),105.0,121.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1444,DR23_G-7,ENTRY 7,Product wt (kg dm/ha;no loss),1383.0,2957.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1445,DR23_G-7,ENTRY 7,Product unit weight (g dm),0.033,0.035,CIOB2302 WH ROOTS ANATOMY DROUGHT,6,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1446,DR23_G-7,ENTRY 7,Product number (no/m2),4241.0,8565.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,7,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1448,DR23_G-7,ENTRY 7,Product harvest index (ratio),0.54,0.41,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1449,DR23_G-7,ENTRY 7,Maximum leaf area index,1.5,4.9,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1452,DR23_G-7,ENTRY 7,Canopy (tops) wt (kg dm/ha),2542.0,7266.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1453,DR23_G-7,ENTRY 7,Vegetative wt (kg dm/ha),1159.0,4309.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1463,DR23_G-7,ENTRY 7,Product N (kg/ha),39.8,53.5,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1465,DR23_G-7,ENTRY 7,Product N (%),2.9,1.8,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1471,DR23_G-8,ENTRY 8,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1472,DR23_G-8,ENTRY 8,Anthesis (DAP),107.0,90.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1473,DR23_G-8,ENTRY 8,Maturity (DAP),137.0,122.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1474,DR23_G-8,ENTRY 8,Product wt (kg dm/ha;no loss),1151.0,2700.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1475,DR23_G-8,ENTRY 8,Product unit weight (g dm),0.033,0.034,CIOB2302 WH ROOTS ANATOMY DROUGHT,6,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1476,DR23_G-8,ENTRY 8,Product number (no/m2),3468.0,7894.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,7,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1478,DR23_G-8,ENTRY 8,Product harvest index (ratio),0.25,0.44,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1479,DR23_G-8,ENTRY 8,Maximum leaf area index,1.2,4.3,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1482,DR23_G-8,ENTRY 8,Canopy (tops) wt (kg dm/ha),4668.0,6206.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1483,DR23_G-8,ENTRY 8,Vegetative wt (kg dm/ha),3517.0,3506.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1493,DR23_G-8,ENTRY 8,Product N (kg/ha),35.2,55.5,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1495,DR23_G-8,ENTRY 8,Product N (%),3.1,2.1,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1501,DR23_G-9,ENTRY 9,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1502,DR23_G-9,ENTRY 9,Anthesis (DAP),108.0,87.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1503,DR23_G-9,ENTRY 9,Maturity (DAP),135.0,120.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1504,DR23_G-9,ENTRY 9,Product wt (kg dm/ha;no loss),1640.0,2550.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1505,DR23_G-9,ENTRY 9,Product unit weight (g dm),0.049,0.034,CIOB2302 WH ROOTS ANATOMY DROUGHT,6,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1506,DR23_G-9,ENTRY 9,Product number (no/m2),3327.0,7395.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,7,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1508,DR23_G-9,ENTRY 9,Product harvest index (ratio),0.35,0.43,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1509,DR23_G-9,ENTRY 9,Maximum leaf area index,1.2,4.5,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1512,DR23_G-9,ENTRY 9,Canopy (tops) wt (kg dm/ha),4700.0,5898.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1513,DR23_G-9,ENTRY 9,Vegetative wt (kg dm/ha),3060.0,3348.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1523,DR23_G-9,ENTRY 9,Product N (kg/ha),49.2,51.5,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1525,DR23_G-9,ENTRY 9,Product N (%),3.0,2.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1531,DR23_G-10,ENTRY 10,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1532,DR23_G-10,ENTRY 10,Anthesis (DAP),77.0,89.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1533,DR23_G-10,ENTRY 10,Maturity (DAP),105.0,121.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1534,DR23_G-10,ENTRY 10,Product wt (kg dm/ha;no loss),1404.0,2850.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
